song,artist,avg_popularity,total_days,reentry_count,momentum_score,momentum_score_final,album_type,is_explicit,Momentum_Level
1-800-hot-n-fun,LE SSERAFIM,0.713032581453634,0.012658227848101266,0.0,37.9625,0.3603137590812474,single,False,Low
24YB (Intro),YANGHONGWON,0.4143692564745196,0.0036166365280289334,0.0,21.566666666666666,0.2082696191956685,album,False,Low
3D (Alternate Ver.),Jung Kook & Jack Harlow,0.682205513784461,0.034358047016274866,0.0,40.025,0.35141017099711297,single,False,Low
3D (Alternate Ver.),Jung Kook & Jack Harlow,0.682205513784461,0.034358047016274866,0.0,40.025,0.35141017099711297,album,False,Low
3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,0.6098579782790309,0.009041591320072333,0.03225806451612903,42.21666666666667,0.31409307943876297,single,False,Low
3D (feat. Jack Harlow),Jung Kook,0.8001171760570257,0.5551537070524412,0.12903225806451613,172.30584415584414,0.5924111517571483,album,True,Medium
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,0.8484604368063015,0.20072332730560577,0.0,75.91696428571429,0.4844472165948325,single,True,Medium
3D (feat. Jack Harlow),Jung Kook & Jack Harlow,0.8484604368063015,0.20072332730560577,0.0,75.91696428571429,0.4844472165948325,album,True,Medium
3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,0.0,0.0018083182640144665,0.0,0.6,0.0005424954792043399,single,False,Low
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,0.5094554568238778,0.018083182640144666,0.03225806451612903,38.70909090909091,0.26660429610720815,single,False,Low
3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,0.5094554568238778,0.018083182640144666,0.03225806451612903,38.70909090909091,0.26660429610720815,album,False,Low
3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,0.3007518796992481,0.0054249547920434,0.0,16.2,0.15200342628723706,single,True,Low
990 (Feat. Kim Ximya),Beenzino,0.4651629072681704,0.007233273056057867,0.0,24.7,0.23475143555090255,album,True,Low
? ???? ? ? ??,DAY6,0.5213032581453634,0.0018083182640144665,0.03225806451612903,36.6,0.26764573745511183,single,False,Low
"??(??) (Untitled, 2014)",G-DRAGON,0.5964912280701754,0.0018083182640144665,0.03225806451612903,40.35,0.30523972241751784,single,False,Low
???,DAY6,0.49122807017543857,0.0018083182640144665,0.06451612903225806,45.1,0.25905975637337525,album,False,Low
???,Vaundy,0.7068258882500368,0.15189873417721517,0.0967741935483871,90.75294117647059,0.4183374030878603,album,False,Medium
??? - Spinning Globe,Kenshi Yonezu,0.7619047619047619,0.0018083182640144665,0.0,38.6,0.38149487643158525,single,False,Low
????,YOASOBI,0.8949492375005309,0.21157323688969257,0.0967741935483871,110.03559322033898,0.5303014285268507,single,False,Medium
????,YOASOBI,0.8949492375005309,0.21157323688969257,0.0967741935483871,110.03559322033898,0.5303014285268507,album,False,Medium
?????,Seiko Matsuda,0.529505582137161,0.018083182640144666,0.0,29.70909090909091,0.27017774586062393,album,False,Low
????? Melt Down,DAY6,0.5513784461152882,0.0018083182640144665,0.03225806451612903,38.1,0.28268333144007424,single,False,Low
?????????,Aimyon,0.6961521450685537,0.059674502712477394,0.0,44.92058823529412,0.36597842334802005,album,False,Low
A Psalm of Life,Lim Young Woong,0.5933842871641914,0.21699819168173595,0.1935483870967742,125.89504132231404,0.40050127850597134,album,False,Medium
A Yo (Feat. Beenzino),E SENS,0.38095238095238093,0.0,0.0,19.3,0.19047619047619047,album,False,Low
A bientot,Lim Young Woong,0.5892035052169431,0.5081374321880651,0.7741935483870968,353.98652482269506,0.6018816919423104,album,False,Medium
ABCD,NAYEON,0.6103720840562946,0.045207956600361664,0.03225806451612903,48.24230769230769,0.3252000419114816,album,False,Low
AK47,Men's Tear & ?????,0.49884711779448615,0.0433996383363472,0.06451612903225806,52.379999999999995,0.27534667620459885,single,False,Low
ALL RED,Playboi Carti,0.8387635756056808,0.0036166365280289334,0.0,42.733333333333334,0.4204667787612491,single,True,Medium
